id,target
300000,0
300001,2
300002,0
300003,0
300004,0
300005,2
300006,0
300007,2
300008,2
300009,0
300010,2
300011,0
300012,0
300013,2
300014,0
300015,0
300016,0
300017,2
300018,0
300019,0
300020,0
300021,0
300022,0
300023,0
300024,2
300025,0
300026,1
300027,0
300028,0
300029,2
300030,0
300031,2
300032,0
300033,2
300034,0
300035,2
300036,0
300037,0
300038,0
300039,2
300040,0
300041,0
300042,0
300043,0
300044,0
300045,0
300046,0
300047,0
300048,0
300049,0
300050,0
300051,0
300052,2
300053,0
300054,1
300055,0
300056,0
300057,0
300058,0
300059,1
300060,0
300061,0
300062,0
300063,2
300064,0
300065,0
300066,2
300067,0
300068,0
300069,0
300070,0
300071,0
300072,0
300073,0
300074,0
300075,0
300076,0
300077,0
300078,0
300079,0
300080,0
300081,0
300082,0
300083,0
300084,0
300085,0
300086,2
300087,0
300088,0
300089,2
300090,0
300091,0
300092,2
300093,2
300094,0
300095,0
300096,0
300097,0
300098,0
300099,0
300100,0
300101,0
300102,0
300103,0
300104,0
300105,0
300106,2
300107,0
300108,0
300109,0
300110,0
300111,2
300112,0
300113,2
300114,0
300115,0
300116,2
300117,0
300118,0
300119,0
300120,0
300121,0
300122,0
300123,0
300124,2
300125,2
300126,0
300127,0
300128,0
300129,0
300130,0
300131,0
300132,0
300133,0
300134,0
300135,0
300136,0
300137,0
300138,2
300139,0
300140,0
300141,0
300142,0
300143,0
300144,0
300145,0
300146,0
300147,1
300148,0
300149,0
300150,2
300151,0
300152,2
300153,0
300154,0
300155,0
300156,2
300157,2
300158,0
300159,0
300160,2
300161,0
300162,0
300163,2
300164,0
300165,2
300166,0
300167,0
300168,0
300169,0
300170,0
300171,0
300172,0
300173,2
300174,1
300175,0
300176,0
300177,0
300178,0
300179,2
300180,2
300181,1
300182,0
300183,0
300184,1
300185,0
300186,0
300187,0
300188,0
300189,0
300190,0
300191,2
300192,0
300193,0
300194,0
300195,0
300196,0
300197,0
300198,0
300199,0
300200,0
300201,0
300202,2
300203,2
300204,0
300205,0
300206,0
300207,0
300208,0
300209,1
300210,0
300211,0
300212,0
300213,0
300214,0
300215,2
300216,0
300217,0
300218,2
300219,0
300220,2
300221,0
300222,0
300223,0
300224,2
300225,1
300226,0
300227,0
300228,0
300229,0
300230,0
300231,0
300232,1
300233,0
300234,2
300235,0
300236,0
300237,0
300238,0
300239,0
300240,0
300241,2
300242,0
300243,0
300244,2
300245,2
300246,0
300247,0
300248,2
300249,2
300250,0
300251,0
300252,2
300253,0
300254,2
300255,0
300256,0
300257,2
300258,0
300259,0
300260,0
300261,0
300262,2
300263,0
300264,0
300265,0
300266,1
300267,0
300268,0
300269,0
300270,2
300271,0
300272,1
300273,1
300274,0
300275,0
300276,0
300277,0
300278,2
300279,0
300280,0
300281,0
300282,1
300283,0
300284,0
300285,0
300286,2
300287,0
300288,0
300289,2
300290,0
300291,2
300292,2
300293,0
300294,0
300295,0
300296,0
300297,0
300298,2
300299,0
300300,0
300301,0
300302,0
300303,0
300304,0
300305,0
300306,2
300307,2
300308,0
300309,0
300310,2
300311,0
300312,0
300313,0
300314,1
300315,0
300316,0
300317,2
300318,0
300319,0
300320,0
300321,0
300322,0
300323,0
300324,0
300325,0
300326,0
300327,0
300328,0
300329,2
300330,0
300331,0
300332,0
300333,2
300334,0
300335,0
300336,0
300337,0
300338,2
300339,2
300340,0
300341,0
300342,0
300343,0
300344,0
300345,0
300346,0
300347,0
300348,0
300349,0
300350,0
300351,0
300352,0
300353,2
300354,0
300355,2
300356,0
300357,0
300358,0
300359,0
300360,0
300361,0
300362,2
300363,0
300364,0
300365,2
300366,0
300367,0
300368,0
300369,0
300370,0
300371,0
300372,2
300373,0
300374,0
300375,0
300376,0
300377,2
300378,2
300379,0
300380,0
300381,1
300382,0
300383,0
300384,2
300385,0
300386,0
300387,0
300388,2
300389,0
300390,0
300391,0
300392,0
300393,0
300394,2
300395,0
300396,0
300397,2
300398,1
300399,0
300400,0
300401,0
300402,0
300403,0
300404,0
300405,2
300406,0
300407,0
300408,0
300409,0
300410,0
300411,0
300412,2
300413,0
300414,0
300415,2
300416,0
300417,2
300418,0
300419,0
300420,0
300421,2
300422,0
300423,0
300424,0
300425,0
300426,0
300427,0
300428,0
300429,2
300430,0
300431,0
300432,0
300433,0
300434,2
300435,0
300436,0
300437,0
300438,0
300439,0
300440,2
300441,0
300442,2
300443,0
300444,0
300445,0
300446,0
300447,0
300448,0
300449,0
300450,0
300451,2
300452,0
300453,0
300454,0
300455,0
300456,0
300457,0
300458,0
300459,0
300460,0
300461,2
300462,0
300463,0
300464,2
300465,0
300466,2
300467,0
300468,0
300469,0
300470,0
300471,0
300472,0
300473,0
300474,0
300475,0
300476,0
300477,2
300478,0
300479,0
300480,0
300481,0
300482,0
300483,0
300484,0
300485,2
300486,0
300487,0
300488,0
300489,2
300490,0
300491,0
300492,0
300493,2
300494,0
300495,0
300496,0
300497,0
300498,0
300499,0
300500,0
300501,0
300502,2
300503,0
300504,0
300505,0
300506,2
300507,2
300508,0
300509,0
300510,0
300511,2
300512,0
300513,2
300514,0
300515,0
300516,0
300517,2
300518,2
300519,0
300520,0
300521,0
300522,0
300523,0
300524,0
300525,0
300526,0
300527,0
300528,0
300529,0
300530,0
300531,0
300532,0
300533,0
300534,0
300535,2
300536,0
300537,0
300538,0
300539,2
300540,0
300541,2
300542,1
300543,0
300544,0
300545,2
300546,0
300547,0
300548,2
300549,2
300550,0
300551,0
300552,0
300553,0
300554,0
300555,0
300556,0
300557,0
300558,0
300559,2
300560,0
300561,0
300562,2
300563,0
300564,0
300565,0
300566,0
300567,0
300568,0
300569,0
300570,0
300571,0
300572,0
300573,0
300574,0
300575,2
300576,0
300577,0
300578,0
300579,0
300580,2
300581,0
300582,0
300583,0
300584,1
300585,0
300586,1
300587,2
300588,0
300589,0
300590,0
300591,1
300592,0
300593,2
300594,2
300595,0
300596,2
300597,2
300598,2
300599,0
300600,0
300601,0
300602,0
300603,1
300604,2
300605,2
300606,2
300607,0
300608,1
300609,0
300610,0
300611,2
300612,0
300613,0
300614,0
300615,0
300616,0
300617,0
300618,0
300619,2
300620,0
300621,0
300622,0
300623,2
300624,0
300625,0
300626,2
300627,0
300628,0
300629,0
300630,0
300631,0
300632,0
300633,0
300634,0
300635,0
300636,0
300637,0
300638,0
300639,0
300640,0
300641,0
300642,0
300643,0
300644,0
300645,0
300646,0
300647,0
300648,0
300649,2
300650,0
